# output/output_voltage.csv run at 2001-08-01 12:00:00 PDT on 124 powerflow objects (not all are nodes)
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
node_2,2497.776297,-0.000002,2497.805017,4.188791,2497.794429,2.094395
node_3,2467.950155,-0.005799,2491.240993,4.186940,2475.839093,2.093052
node_4,0.000000,0.000000,2490.707403,4.186867,0.000000,0.000000
node_5,0.000000,0.000000,0.000000,0.000000,2471.998758,2.092523
node_6,0.000000,0.000000,0.000000,0.000000,2470.771575,2.092354
node_7,0.000000,0.000000,0.000000,0.000000,2469.002022,2.092110
node_8,0.000000,0.000000,0.000000,0.000000,2467.465166,2.091898
node_9,2445.627551,-0.009896,2486.488547,4.185283,2461.554465,2.092663
node_10,2431.100803,-0.012556,2483.157357,4.184196,2452.041493,2.092352
node_11,2427.585461,-0.013049,0.000000,0.000000,0.000000,0.000000
node_12,2426.800461,-0.013159,0.000000,0.000000,0.000000,0.000000
node_13,2426.018638,-0.013269,0.000000,0.000000,0.000000,0.000000
node_14,0.000000,0.000000,2482.470128,4.184102,0.000000,0.000000
node_15,2411.713642,-0.015891,2477.271737,4.182844,2437.788850,2.091460
node_16,2427.581751,-0.013049,0.000000,0.000000,0.000000,0.000000
node_17,0.000000,0.000000,0.000000,0.000000,2434.512355,2.091002
node_18,0.000000,0.000000,0.000000,0.000000,2432.172752,2.090675
node_19,0.000000,0.000000,0.000000,0.000000,2433.421270,2.090850
node_20,2392.483266,-0.018853,2474.294232,4.183199,2428.043064,2.095802
node_21,2389.307347,-0.019306,0.000000,0.000000,0.000000,0.000000
node_22,2387.242099,-0.019600,0.000000,0.000000,0.000000,0.000000
node_23,2391.740677,-0.019200,2475.080814,4.183841,2426.165515,2.096029
node_24,0.000000,0.000000,2471.857082,4.183397,0.000000,0.000000
node_25,2390.974054,-0.019891,2476.251856,4.184376,2423.866501,2.096017
node_26,0.000000,0.000000,0.000000,0.000000,2420.417224,2.095532
node_27,2389.636077,-0.020605,2477.620418,4.184808,2422.197084,2.096303
node_28,2389.633561,-0.020605,0.000000,0.000000,2422.194604,2.096303
node_29,2388.763721,-0.020915,0.000000,0.000000,0.000000,0.000000
node_30,2388.932774,-0.020874,2478.369688,4.185047,2421.701371,2.096582
node_31,2388.528357,-0.021250,2478.736524,4.185159,2420.622120,2.096476
node_32,2389.157512,-0.021308,2478.631561,4.185359,2419.529994,2.096091
node_33,0.000000,0.000000,0.000000,0.000000,2420.784791,2.096104
node_34,0.000000,0.000000,0.000000,0.000000,2419.844213,2.095972
node_35,2385.582701,-0.021369,0.000000,0.000000,0.000000,0.000000
node_36,0.000000,0.000000,0.000000,0.000000,2435.448501,2.091133
node_37,2386.742875,-0.018842,2471.111476,4.182881,2426.785709,2.096482
node_38,2384.386057,-0.019009,2469.038216,4.181744,0.000000,0.000000
node_39,2382.475350,-0.019283,0.000000,0.000000,0.000000,0.000000
node_40,0.000000,0.000000,2466.731857,4.181426,0.000000,0.000000
node_41,0.000000,0.000000,2465.732131,4.181288,0.000000,0.000000
node_42,2384.278559,-0.018705,2469.196057,4.182785,2425.063522,2.096518
node_43,0.000000,0.000000,0.000000,0.000000,2424.046603,2.096375
node_44,2381.641531,-0.018545,2467.326651,4.182610,2423.730026,2.096688
node_45,0.000000,0.000000,2464.247191,4.182185,0.000000,0.000000
node_46,2379.956327,-0.018451,2466.255920,4.182692,2422.389424,2.096806
node_47,2378.681346,-0.018633,0.000000,0.000000,0.000000,0.000000
node_48,2377.724105,-0.018771,0.000000,0.000000,0.000000,0.000000
node_49,2378.641055,-0.018047,2464.468013,4.182843,2420.784320,2.096800
node_50,2378.160252,-0.018028,2464.042641,4.182875,2420.367148,2.096789
node_51,2378.325424,-0.017902,2463.499179,4.182928,2420.227770,2.096630
node_52,2378.275317,-0.018087,2463.559624,4.183082,2419.414022,2.096430
